Date,Time,Object Name,Object ID,Target Name,Target ID,Min Distance (km),Relative Speed (km/s),Object Since Epoch (days),Target Since Epoch (days),Collision Probability
2026-03-14,01:55:18.810,JILIN-1 GAOFEN 2D,49256,ARLINK-5094,53977,9.225387247112007,5.750860981305943,0.082856603898108,6.225623923819512,1.1318083175009597e-12
2026-03-14,04:27:04.692,JILIN-1 GAOFEN 2D,49256,ARLINK-4050,53274,3.7744282990360447,6.844911147089011,0.1882487554103136,6.399566415697336,3.4390422849721415e-07
2026-03-14,04:37:37.442,JILIN-1 GAOFEN 2D,49256,ARLINK-36192,67024,9.090219974842622,12.678786419286851,0.19557225098833442,6.058185080997646,6.350610030619108e-17
2026-03-14,05:30:16.058,JILIN-1 GAOFEN 2D,49256,23-085L,57014,4.769640847848487,1.7182634966326666,0.23213031189516187,6.101759552024305,2.5384401315629616e-07
2026-03-14,07:58:05.007,JILIN-1 GAOFEN 2D,49256,ARLINK-35890,66835,3.2450348731576883,13.50336548471453,0.3347801845520735,6.190615634433925,1.239008070381019e-06
2026-03-14,12:37:12.390,JILIN-1 GAOFEN 2D,49256,ARLINK-4312,53065,4.683415560437209,7.308946609238241,0.5286156293004751,6.449359179474413,6.936322668919851e-09
2026-03-14,15:56:09.117,JILIN-1 GAOFEN 2D,49256,ARLINK-5894,55965,6.119725381828599,7.652821271702049,0.6667721983976662,6.663207758683711,7.466130760214206e-13
2026-03-14,16:48:44.250,JILIN-1 GAOFEN 2D,49256,ARLINK-31731,59498,9.339852027795464,12.667817885803583,0.7032899335026741,6.5526114334352314,3.01939535877307e-24
2026-03-14,20:27:40.175,JILIN-1 GAOFEN 2D,49256,ARLINK-4786,55393,9.459916375919962,14.38204989201717,0.8553261118941009,6.728895331732929,8.329579780292993e-22
2026-03-14,01:55:18.810,JILIN-1 GAOFEN 2D,49256,ARLINK-5094,53977,9.225387247112007,5.750860981305943,0.082856603898108,6.225623923819512,1.1318083175009597e-12
2026-03-14,04:27:04.692,JILIN-1 GAOFEN 2D,49256,ARLINK-4050,53274,3.7744282990360447,6.844911147089011,0.1882487554103136,6.399566415697336,3.4390422849721415e-07
2026-03-14,04:37:37.442,JILIN-1 GAOFEN 2D,49256,ARLINK-36192,67024,9.090219974842622,12.678786419286851,0.19557225098833442,6.058185080997646,6.350610030619108e-17
2026-03-14,05:30:16.058,JILIN-1 GAOFEN 2D,49256,23-085L,57014,4.769640847848487,1.7182634966326666,0.23213031189516187,6.101759552024305,2.5384401315629616e-07
2026-03-14,07:58:05.007,JILIN-1 GAOFEN 2D,49256,ARLINK-35890,66835,3.2450348731576883,13.50336548471453,0.3347801845520735,6.190615634433925,1.239008070381019e-06
2026-03-14,12:37:12.390,JILIN-1 GAOFEN 2D,49256,ARLINK-4312,53065,4.683415560437209,7.308946609238241,0.5286156293004751,6.449359179474413,6.936322668919851e-09
2026-03-14,15:56:09.117,JILIN-1 GAOFEN 2D,49256,ARLINK-5894,55965,6.119725381828599,7.652821271702049,0.6667721983976662,6.663207758683711,7.466130760214206e-13
2026-03-14,16:48:44.250,JILIN-1 GAOFEN 2D,49256,ARLINK-31731,59498,9.339852027795464,12.667817885803583,0.7032899335026741,6.5526114334352314,3.01939535877307e-24
2026-03-14,20:27:40.175,JILIN-1 GAOFEN 2D,49256,ARLINK-4786,55393,9.459916375919962,14.38204989201717,0.8553261118941009,6.728895331732929,8.329579780292993e-22
2026-03-14,06:41:30.566,JILIN-1 GAOFEN 2D,49256,ARLINK-5778,57149,2.4131725933874066,7.127627614596665,0.7302148877643049,6.711031487677246,1.7451866492561817e-05
2026-03-14,06:46:59.064,JILIN-1 GAOFEN 2D,49256,ARLINK-3880,52334,5.9752041374408975,5.807989530321697,0.7340169539675117,6.162303893826902,2.553707132070701e-11
2026-03-14,08:02:42.425,JILIN-1 GAOFEN 2D,49256,ARLINK-33877,63933,6.368933493286767,8.753317297759699,0.7866021445952356,6.327857814729214,2.5686956655520075e-06
2026-03-14,08:56:42.194,JILIN-1 GAOFEN 2D,49256,ARLINK-5808,56927,1.3989339385715756,12.731890649283576,0.824099478777498,6.206020778976381,0.00014839281026036405
2026-03-14,09:10:11.809,JILIN-1 GAOFEN 2D,49256,ARLINK-3880,52334,9.844479033527866,5.815521919433736,0.8334700190462172,6.2617569589056075,1.1682980675781606e-18
2026-03-14,10:02:29.791,JILIN-1 GAOFEN 2D,49256,ARLINK-4140,53259,9.901938583922725,6.385429543796827,0.8697892506606877,6.62978042056784,3.501697060780935e-06
2026-03-14,14:26:00.460,JILIN-1 GAOFEN 2D,49256,ARLINK-5883,55956,8.065394679794887,7.679603667158399,1.0527831064537168,6.596429446712136,8.792981654837121e-05
2026-03-14,20:27:55.048,JILIN-1 GAOFEN 2D,49256,ARLINK-5850,57049,9.424588456456144,12.682137405488884,1.3041093572974205,6.70037127751857,1.1603213669490556e-13
